City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,57.2,moderate rain,-54.8,-68.3,
3,Port Alfred,ZA,64.99,overcast clouds,-33.5906,26.891,
5,Punta Arenas,CL,53.6,light rain,-53.15,-70.9167,
11,Bredasdorp,ZA,66.2,broken clouds,-34.5322,20.0403,
21,Arlit,NE,64.49,clear sky,18.7369,7.3853,
26,Ancud,CL,62.6,broken clouds,-41.8697,-73.8203,
34,Kano,NG,60.8,clear sky,12.0001,8.5167,
38,Mataura,NZ,60.01,overcast clouds,-46.1927,168.8643,
39,Lata,PT,55.99,overcast clouds,40.1629,-8.3327,
41,Guerrero Negro,MX,62.74,clear sky,27.9769,-114.0611,
56,Gat,IL,53.01,clear sky,31.61,34.7642,
67,Bluff,NZ,60.01,overcast clouds,-46.6,168.3333,
68,Havelock,US,48.2,clear sky,34.8791,-76.9013,
78,Port Elizabeth,ZA,66.2,overcast clouds,-33.918,25.5701,
82,Ponta Do Sol,PT,59.0,clear sky,32.6667,-17.1,
83,Busselton,AU,50.0,clear sky,-33.65,115.3333,
93,Hermanus,ZA,66.0,scattered clouds,-34.4187,19.2345,
96,Faya,SA,59.0,clear sky,18.3851,42.4509,
101,Tuatapere,NZ,60.01,overcast clouds,-46.1333,167.6833,
104,Avera,US,57.2,overcast clouds,33.194,-82.5271,
106,Victoria,HK,64.0,overcast clouds,22.2855,114.1577,
112,Jasper,US,46.4,fog,37.2001,-94.3502,
113,Benghazi,LY,61.47,overcast clouds,32.1167,20.0667,
119,Laela,TZ,62.74,moderate rain,-8.5667,32.05,
122,Half Moon Bay,US,52.0,light rain,37.4636,-122.4286,
125,Kaitangata,NZ,58.33,overcast clouds,-46.2817,169.8464,
127,Haldibari,IN,60.21,clear sky,26.3333,88.7667,
132,Plettenberg Bay,ZA,64.26,scattered clouds,-34.0527,23.3716,
133,Ribeira Grande,PT,64.4,broken clouds,38.5167,-28.7,
134,Ishigaki,JP,64.76,overcast clouds,24.3448,124.1572,
144,Airai,TL,61.11,very heavy rain,-8.9266,125.4092,
152,Castro,BR,66.29,overcast clouds,-24.7911,-50.0119,
153,Lebu,CL,59.97,clear sky,-37.6167,-73.65,
154,Ajdabiya,LY,58.86,overcast clouds,30.7554,20.2263,
160,Keti Bandar,PK,59.99,clear sky,24.1447,67.4497,
161,Mangan,IN,51.48,clear sky,27.5167,88.5333,
162,Camacupa,AO,62.19,moderate rain,-12.0167,17.4833,
163,Naze,JP,62.44,overcast clouds,28.3667,129.4833,
171,Shadegan,IR,50.0,clear sky,30.6497,48.6647,
175,Los Llanos De Aridane,ES,64.4,scattered clouds,28.6585,-17.9182,
