City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nelson,NZ,-41.2833,173.2833,70.0,56,30,3.0,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,57.2,54,40,18.41,moderate rain
2,Boyabat,TR,41.4689,34.7667,36.23,80,23,0.74,few clouds
3,Port Alfred,ZA,-33.5906,26.891,64.99,90,95,3.0,overcast clouds
4,Butaritari,KI,3.0707,172.7902,78.89,78,45,9.84,scattered clouds
5,Punta Arenas,CL,-53.15,-70.9167,53.6,66,75,23.02,light rain
6,Cape Town,ZA,-33.9258,18.4232,68.0,55,0,10.36,clear sky
7,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,90,6.91,overcast clouds
8,Severo-Kurilsk,RU,50.6789,156.125,17.92,95,100,11.99,snow
9,Marfino,RU,55.7028,37.3822,39.2,93,75,6.71,mist
10,Dzilam Gonzalez,MX,21.2833,-88.9333,85.05,54,93,7.78,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,66.2,68,70,14.97,broken clouds
12,Bucerias,MX,20.75,-105.3333,75.2,73,40,12.66,scattered clouds
13,Kaabong,UG,3.4836,34.1492,70.38,53,0,9.8,clear sky
14,Lorengau,PG,-2.0226,147.2712,81.39,71,100,1.52,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,90,4.61,light snow
16,Klaksvik,FO,62.2266,-6.589,35.6,80,20,16.11,few clouds
17,Svetlogorsk,BY,52.6333,29.7333,38.08,98,100,9.8,overcast clouds
18,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,65,0,20.71,clear sky
19,Cabo San Lucas,MX,22.8909,-109.9124,71.01,52,1,18.41,clear sky
20,Saint-Georges,GD,12.0564,-61.7485,82.4,69,20,17.27,few clouds
21,Arlit,NE,18.7369,7.3853,64.49,20,1,11.27,clear sky
22,Alofi,NU,-19.0595,-169.9187,82.4,74,75,5.75,moderate rain
23,Isangel,VU,-19.55,169.2667,75.2,100,75,11.63,moderate rain
24,Ketchikan,US,55.3422,-131.6461,37.4,93,40,3.44,scattered clouds
25,Juneau,US,58.3019,-134.4197,33.8,86,90,8.05,light snow
26,Ancud,CL,-41.8697,-73.8203,62.6,59,75,6.91,broken clouds
27,Bethel,US,41.3712,-73.414,30.2,24,1,12.66,clear sky
28,Geraldton,AU,-28.7667,114.6,69.82,65,50,11.36,scattered clouds
29,Pondicherry,IN,11.93,79.83,73.98,80,5,5.93,clear sky
30,Broome,US,42.2506,-75.833,21.99,62,1,12.66,clear sky
31,Hilo,US,19.7297,-155.09,77.0,69,90,5.75,moderate rain
32,Tiksi,RU,71.6872,128.8694,-44.73,79,38,8.3,scattered clouds
33,Birakan,RU,49.0167,131.7,-12.14,84,59,3.18,broken clouds
34,Kano,NG,12.0001,8.5167,60.8,44,0,2.3,clear sky
35,Kapaa,US,22.0752,-159.319,78.8,73,1,13.8,light rain
36,Harper,LR,4.375,-7.7169,78.62,86,0,8.05,clear sky
37,Cherskiy,RU,68.75,161.3,-25.06,86,100,7.29,overcast clouds
38,Mataura,NZ,-46.1927,168.8643,60.01,84,99,17.0,overcast clouds
39,Lata,PT,40.1629,-8.3327,55.99,95,100,4.0,overcast clouds
40,Sur,OM,22.5667,59.5289,67.05,51,0,10.36,clear sky
41,Guerrero Negro,MX,27.9769,-114.0611,62.74,47,9,20.56,clear sky
42,Hithadhoo,MV,-0.6,73.0833,81.88,69,99,3.11,overcast clouds
43,Albany,US,42.6001,-73.9662,21.99,40,43,13.94,scattered clouds
44,Barrow,US,71.2906,-156.7887,-4.0,77,1,17.27,haze
45,Thompson,CA,55.7435,-97.8558,-7.6,71,75,10.36,snow
46,Khatanga,RU,71.9667,102.5,-18.98,87,100,10.16,overcast clouds
47,Yellowknife,CA,62.456,-114.3525,-13.0,77,75,12.66,broken clouds
48,Rikitea,PF,-23.1203,-134.9692,80.04,67,0,9.37,clear sky
49,Qaanaaq,GL,77.484,-69.3632,7.72,79,0,3.11,clear sky
50,Lasa,IT,46.6166,10.7002,28.4,74,0,2.3,clear sky
51,Padang,ID,-0.9492,100.3543,73.4,94,40,4.61,scattered clouds
52,Cayenne,GF,4.9333,-52.3333,80.6,78,75,8.05,broken clouds
53,Vanimo,PG,-2.6741,141.3028,77.52,84,82,4.94,broken clouds
54,Sokolo,ML,14.7328,-6.1219,72.57,16,0,10.31,clear sky
55,Auki,SB,-8.7676,160.7034,80.1,73,75,3.29,broken clouds
56,Gat,IL,31.61,34.7642,53.01,100,0,1.99,clear sky
57,Port Macquarie,AU,-31.4333,152.9167,71.01,99,17,11.25,few clouds
58,Kavaratti,IN,10.5669,72.642,81.12,77,9,10.69,clear sky
59,Jamestown,US,42.097,-79.2353,27.0,58,75,3.44,broken clouds
60,Vaini,TO,-21.2,-175.2,78.8,89,75,4.61,light rain
61,Lake City,US,30.1897,-82.6393,69.8,77,90,8.05,overcast clouds
62,Comodoro Rivadavia,AR,-45.8667,-67.5,78.8,53,75,9.22,broken clouds
63,Mirnyy,RU,62.5353,113.9611,-44.18,76,50,2.59,scattered clouds
64,Jermuk,AM,39.8417,45.6723,17.87,65,6,1.41,clear sky
